Labirentin cikis yolu: 

 x	 y
 1	 1
 1	 1
 1	 2
 1	 2
 2	 2
 2	 2
 3	 2
 3	 2
 3	 3
 3	 3
 3	 4
 3	 4
 3	 5
 3	 5
 3	 6
 3	 6
 3	 7
 3	 7
 3	 7
 3	 7
 3	 7
 3	 7
 3	 7
 3	 7
 3	 7
 3	 7
 4	 7
 4	 7
 5	 7
 5	 7
 6	 7
 6	 7
 7	 7
 7	 7
 7	 7
 7	 7
 7	 7
 7	 7
 7	 7
 7	 7
 7	 7
 7	 7
 7	 7
 7	 7
 7	 8
 7	 8
 7	 8
 7	 8
 8	 8
 8	 8
 8	 9
 8	 9
 8	 10
 8	 10
 7	 10
 7	 10
 7	 10
 7	 10
 7	 11
 7	 11
 7	 12
 7	 12
 7	 13
 7	 13
 7	 14
 7	 14
 7	 14
 7	 14
 7	 14
 7	 14
 7	 13
 7	 13
 7	 12
 7	 12
 7	 11
 7	 11
 7	 10
 7	 10
 7	 10
 7	 10
 7	 10
 7	 10
 7	 10
 7	 10
 8	 10
 8	 10
 9	 10
 9	 10
 10	 10
 10	 10
 10	 10
 10	 10
 10	 10
 10	 10
 10	 10
 10	 10
 11	 10
 11	 10
 11	 11
 11	 11
 11	 12
 11	 12
 11	 13
 11	 13
 12	 13
 12	 13
 13	 13
 13	 13
 14	 13
 14	 13
 14	 14
 14	 14
 14	 15
 14	 15
 14	 16
 14	 16
 14	 17
 14	 17
 14	 18
 14	 18
 14	 19
 14	 19
 14	 20
 14	 20
 15	 20
 15	 20
 16	 20
 16	 20
 16	 21
 16	 21
 17	 21
 17	 21
 18	 21
 18	 21
 18	 20
 18	 20
 18	 19
 18	 19
 19	 19
 19	 19
 20	 19
 20	 19
 20	 20
 20	 20
 20	 21
 20	 21
 20	 22
 20	 22
 21	 22
 21	 22
 22	 22
 22	 22
 22	 23
 22	 23
 23	 23
 23	 23
 23	 24
